0	0
1	19
2	18
3	20
4	21
5	23
6	27
7	21
8	20
9	29
10	18
11	19
12	29
13	21
14	26
15	27
16	25
17	28
18	27
19	24
20	22
21	22
22	19
23	21
24	25
25	22
26	29
27	23
28	18
29	19
30	26
31	25
32	17
33	25
34	26
35	20
36	19
37	18
38	25
39	28
40	24
41	20
42	28
43	21
44	35
45	19
46	19
47	20
48	26
49	27
50	22
51	33
52	27
53	30
54	13
55	29
56	36
57	25
58	26
59	20
60	22
61	27
62	21
63	24
64	27
65	34
66	19
67	17
68	35
69	16
70	29
71	29
72	22
73	33
74	22
75	22
76	17
77	31
78	23
79	26
80	24
81	18
82	21
83	19
84	16
85	32
86	24
87	15
88	31
89	35
90	35
91	28
92	25
93	15
94	21
95	31
96	27
97	28
98	24
99	21
100	21
101	23
102	23
103	23
104	29
105	28
106	17
107	27
108	33
109	22
110	24
111	13
112	23
113	27
114	27
115	27
116	24
117	18
118	16
119	19
120	18
121	26
122	22
123	27
124	27
125	35
126	22
127	34
128	21
129	21
130	18
131	23
132	31
133	34
134	26
135	24
136	30
137	28
138	26
139	24
140	29
141	22
142	24
143	24
144	16
145	17
146	14
147	15
148	16
149	21
150	25
151	29
152	23
153	15
154	13
155	21
156	30
157	30
158	21
159	23
160	26
161	22
162	28
163	20
164	20
165	26
166	17
167	21
168	24
169	13
170	17
171	26
172	16
173	18
174	21
175	26
176	23
177	27
178	20
179	23
180	17
